No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
58,256,56092,2,2,4,64,2,400,true,37815897408698685851136,1024,4,575,8,2,false,class2_padding,10493114,C2_direct_product,409600,205520896
59,256,56092,2,2,4,64,2,400,true,39652842515082596733629236739,1024,4,191,8,2,false,class2_padding,10493115,C2_direct_product,409600,205520896
60,256,56092,2,2,4,64,2,400,true,41579018954371917688023235394799119,1024,4,63,8,2,false,class2_padding,10493131,C2_direct_product,409600,205520896
61,256,56092,2,2,4,32,2,352,true,38723442125076832276452864,1024,4,511,8,2,false,class2_padding,10493137,C2_direct_product,360448,155189248
62,256,56092,2,2,4,32,2,352,true,40604472049781493927683693745676,1024,4,255,8,2,false,class2_padding,10493156,C2_direct_product,360448,155189248
63,256,56092,2,2,4,32,2,352,true,40604472049781529956480712709650,1024,4,511,8,2,false,class2_padding,10493169,C2_direct_product,360448,155189248
64,256,56092,2,2,4,32,2,352,true,41578979378976286747493775194461715,1024,4,127,8,2,false,class2_padding,10493170,C2_direct_product,360448,155189248
65,256,56092,2,2,4,32,2,352,true,41578979378976286711464978175497747,1024,4,255,8,2,false,class2_padding,10493176,C2_direct_product,360448,155189248
66,256,56092,2,2,4,16,2,340,true,38723442125076841067709952,1024,4,479,8,2,false,class2_padding,10493220,C2_direct_product,348160,139460608
67,256,56092,2,2,4,16,2,340,true,40604472049818423444636923069955,1024,4,159,8,2,false,class2_padding,10493221,C2_direct_product,348160,139460608
68,256,56092,2,2,4,16,2,340,true,40604472049781493927692485002776,1024,4,287,8,2,false,class2_padding,10493237,C2_direct_product,348160,139460608
69,256,56092,2,2,4,16,2,340,true,42576874884071679850573820376138122779,1024,4,95,8,2,false,class2_padding,10493238,C2_direct_product,348160,139460608
70,256,56092,2,2,4,8,2,328,true,39652804699257245637839701504,1024,4,447,8,2,false,class2_padding,10493262,C2_direct_product,335872,126877696
71,256,56092,2,2,4,8,2,328,true,41578979340328402522171663118779928,1024,4,319,8,2,false,class2_padding,10493279,C2_direct_product,335872,126877696
72,256,56092,2,2,4,8,2,328,true,41578979340328402558200460137743938,1024,4,447,8,2,false,class2_padding,10493293,C2_direct_product,335872,126877696
73,256,56092,2,2,4,8,2,328,true,42576874844496284219669319712956761667,1024,4,127,8,2,false,class2_padding,10493294,C2_direct_product,335872,126877696
74,256,56092,2,2,4,8,2,328,true,42576874844496284219633290915937797699,1024,4,319,8,2,false,class2_padding,10493299,C2_direct_product,335872,126877696
75,256,56092,2,2,4,16,2,304,true,40644086131038662125277418892800,1024,4,447,8,2,false,class2_padding,10493360,C2_direct_product,311296,111149056
76,256,56092,2,2,4,16,2,304,true,42618413258939996213640439147657440788,1024,4,447,8,2,false,class2_padding,10493377,C2_direct_product,311296,111149056
77,256,56092,2,2,4,16,2,304,true,43641255177154556122767881744793904360982,1024,4,191,8,2,false,class2_padding,10493378,C2_direct_product,311296,111149056
78,256,56092,2,2,4,16,2,304,true,39730213730644445403080297984,1024,4,447,8,2,false,class2_padding,10493526,C2_direct_product,311296,111149056
79,256,56092,2,2,4,16,2,304,true,43683831970869336621054554999102695017999,1024,4,191,8,2,false,class2_padding,10493531,C2_direct_product,311296,111149056
80,256,56092,2,2,4,16,2,304,true,43683831970869336583238693619201095241231,1024,4,191,8,2,false,class2_padding,10493555,C2_direct_product,311296,111149056
81,256,56092,2,2,4,16,2,304,true,45805817792686244912325574759687284345996054079,1024,4,447,8,2,false,class2_padding,10493560,C2_direct_product,311296,111149056
82,256,56092,2,2,4,8,2,292,true,40644086131038662125827173666304,1024,4,415,8,2,false,class2_padding,10493668,C2_direct_product,299008,98566144
83,256,56092,2,2,4,8,2,292,true,42618413258939996250533927844831317510,1024,4,223,8,2,false,class2_padding,10493669,C2_direct_product,299008,98566144
84,256,56092,2,2,4,8,2,292,true,44688645301406265469676532046864143343701558,1024,4,159,8,2,false,class2_padding,10493714,C2_direct_product,299008,98566144
85,256,56092,2,2,4,8,2,292,true,43641255177154556122767845716546640170572,1024,4,415,8,2,false,class2_padding,10493750,C2_direct_product,299008,98566144
86,256,56092,2,2,4,8,2,292,true,44688645301406265469714274085238953086307917,1024,4,223,8,2,false,class2_padding,10493751,C2_direct_product,299008,98566144
87,256,56092,2,2,4,8,2,292,true,44688645301406265469714274121267750105271885,1024,4,159,8,2,false,class2_padding,10493754,C2_direct_product,299008,98566144
88,512,10494213,1,2,4,256,2,640,true,36028797018964480,1024,2,767,9,1,false,class2_padding,10494202,C2_direct_product,655360,469762048
89,512,10494213,1,2,4,256,2,640,true,37815861379901599777283,1024,2,255,9,1,false,class2_padding,10494203,C2_direct_product,655360,469762048
90,512,10494213,1,2,4,64,2,544,true,37815861379901600041472,1024,2,639,9,1,false,class2_padding,10494205,C2_direct_product,557056,318767104
91,512,10494213,1,2,4,64,2,544,true,39652804699221216831962614278,1024,2,383,9,1,false,class2_padding,10494206,C2_direct_product,557056,318767104
92,512,10494213,1,2,4,16,2,520,true,37815861380451422700032,1024,2,575,9,1,false,class2_padding,10494208,C2_direct_product,532480,281018368
93,512,10494213,1,2,4,16,2,520,true,39652804699221217381785272835,1024,2,447,9,1,false,class2_padding,10494209,C2_direct_product,532480,281018368
94,512,10494213,1,2,4,4,2,514,true,38723442089330059990008320,1024,2,543,9,1,false,class2_padding,10494211,C2_direct_product,526336,271581184
95,512,10494213,1,2,4,4,2,514,true,40604472012002562346751264555523,1024,2,479,9,1,false,class2_padding,10494212,C2_direct_product,526336,271581184
96,256,56092,2,2,4,4,2,325,false,19380628975495993194709504,1024,4,431,8,2,true,class2_special,1,R310,332800,122945536
97,256,56092,2,2,4,4,2,325,false,20322062408332427164331794236096,1024,4,143,8,2,true,class2_special,2,R310,332800,122945536
98,256,56092,2,2,4,4,2,325,false,20322062408350891922804013269507,1024,4,335,8,2,true,class2_special,3,R310,332800,122945536
99,256,56092,2,2,4,4,2,325,false,21309226911879582887471738141007676099,1024,4,111,8,2,true,class2_special,4,R310,332800,122945536
100,256,56092,2,2,4,4,2,289,false,19361739509564514613854720,1024,4,399,8,2,true,class2_special,5,R220,295936,94633984
