Order,SmallGroup_ID,StructureDescription,CenterSize
1536,230700283,"Q8 x Q32 x S3",4
1536,230700287,"C2 x (Q32 x (C3 : Q8))",8
1536,230700288,"C2 x (Q8 x (C3 : Q32))",8
1536,230700514,"C3 : ((((C8 : Q8) : C2) : C2) : C2)",4
1536,230700518,"C3 : ((((C8 : Q8) : C2) : C2) : C2)",4
1536,230722313,"C3 : (((((C2 x D16) : C2) : C2) : C2) : C2)",4
1536,230722318,"C3 : (((((C2 x D16) : C2) : C2) : C2) : C2)",4
1536,230722320,"C3 : (((C4 : Q32) : C2) : C2)",4
1536,230722325,"C3 : (((C4 : Q32) : C2) : C2)",4
1536,230723346,"C3 : (((((C8 : C4) : C2) : C2) : C2) : C2)",4
1536,230723351,"C3 : (((((C8 : C4) : C2) : C2) : C2) : C2)",4
1536,230723353,"C3 : (((C16 : Q8) : C2) : C2)",4
1536,230723358,"C3 : (((C16 : Q8) : C2) : C2)",4
1536,230726311,"C2 x C2 x D64 x S3",8
1536,230726313,"C2 x C2 x C2 x D192",16
1536,230726318,"C2 x C2 x Q64 x S3",8
1536,230726320,"C2 x C2 x C2 x (C3 : Q64)",16
1536,230726345,"((C2 x D64) : C2) x S3",2
1536,230726347,"C2 x (C3 : ((C2 x D64) : C2))",4
1536,230726350,"C2 x (C3 : ((C2 x D64) : C2))",4
1536,230726359,"((C2 x Q64) : C2) x S3",2
1536,230726361,"C2 x (C3 : ((C2 x Q64) : C2))",4
1536,230726364,"C2 x (C3 : ((C2 x Q64) : C2))",4
1536,230812688,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) x S3",8
1536,230813862,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) x S3",8
1536,230818126,"((((C4 x C2 x C2 x C2) : C2) : C2) : C2) x S3",8
1536,230819169,"(((C4 : C4) : Q8) : C2) x S3",8
1536,230822469,"((((C4 x C2 x C2 x C2) : C2) : C2) : C2) x S3",8
1536,230838778,"((C2 x C2 x C2 x C2) : C2) x D8 x S3",8
1536,230838783,"C2 x (((C2 x C2 x C2 x C2) : C2) x D24)",16
1536,230839392,"((C4 x C4) : C2) x D8 x S3",8
1536,230839397,"C2 x (((C4 x C4) : C2) x D24)",16
1536,230839398,"C2 x (D8 x (C3 : ((C4 x C4) : C2)))",16
1536,230839401,"(C4 : Q8) x D8 x S3",8
1536,230839409,"C2 x ((C4 : Q8) x D24)",16
1536,230839410,"C2 x (D8 x (C3 : (C4 : Q8)))",16
1536,230851347,"((C2 x C2 x C2 x C2) : C2) x Q8 x S3",8
1536,230851350,"C2 x (((C2 x C2 x C2 x C2) : C2) x (C3 : Q8))",16
1536,230851649,"((C4 x C4) : C2) x Q8 x S3",8
1536,230851652,"C2 x (((C4 x C4) : C2) x (C3 : Q8))",16
1536,230851653,"C2 x (Q8 x (C3 : ((C4 x C4) : C2)))",16
1536,230851655,"(C4 : Q8) x Q8 x S3",8
1536,230851659,"C2 x ((C4 : Q8) x (C3 : Q8))",16
1536,230851661,"C2 x (Q8 x (C3 : (C4 : Q8)))",16
1536,230869102,"C3 : ((((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2)",8
1536,230876181,"C3 : (((((C2 x C2 x Q8) : C2) : C2) : C2) : C2)",8
1536,230876617,"C3 : ((((C2 x ((C4 x C4) : C2)) : C2) : C2) : C2)",8
1536,230876618,"C3 : ((((C2 x ((C4 x C4) : C2)) : C2) : C2) : C2)",8
1536,230876628,"C3 : ((((C4 x C4) : Q8) : C2) : C2)",8
1536,230876629,"C3 : ((((C4 x C4) : Q8) : C2) : C2)",8
1536,230877219,"C3 : ((((C2 x (C4 : Q8)) : C2) : C2) : C2)",8
1536,230877220,"C3 : ((((C2 x (C4 : Q8)) : C2) : C2) : C2)",8
1536,230951259,"C2 x (((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) x S3)",16
1536,230951566,"C2 x (((C2 x ((C4 x C4) : C2)) : C2) x S3)",16
1536,230951568,"C2 x C2 x (C3 : ((C2 x ((C4 x C4) : C2)) : C2))",32
1536,230951569,"C2 x (((C4 x C4) : Q8) x S3)",16
