Order, SmallGroup_ID, StructureDescription, CenterSize
512,7532169,"((C4 : Q32) : C2) : C2",4
512,7532224,"((((C8 : C4) : C2) : C2) : C2) : C2",4
512,7532225,"((C16 : Q8) : C2) : C2",4
512,7532380,"C2 x C2 x C2 x D64",16
512,7532382,"C2 x C2 x C2 x Q64",16
512,7532387,"C2 x ((C2 x D64) : C2)",4
512,7532389,"C2 x ((C2 x Q64) : C2)",4
512,7535895,"C2 x (((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2)",16
512,7535943,"C2 x (((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2)",16
512,7536102,"C2 x ((((C4 x C2 x C2 x C2) : C2) : C2) : C2)",16
512,7536155,"C2 x (((C4 : C4) : Q8) : C2)",16
512,7536284,"C2 x ((((C4 x C2 x C2 x C2) : C2) : C2) : C2)",16
512,7536911,"C2 x (((C2 x C2 x C2 x C2) : C2) x D8)",16
512,7536940,"C2 x (((C4 x C4) : C2) x D8)",16
512,7536941,"C2 x ((C4 : Q8) x D8)",16
512,7537438,"C2 x (((C2 x C2 x C2 x C2) : C2) x Q8)",16
512,7537457,"C2 x (((C4 x C4) : C2) x Q8)",16
512,7537458,"C2 x ((C4 : Q8) x Q8)",16
512,7538135,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",8
512,7538394,"((((C2 x C2 x Q8) : C2) : C2) : C2) : C2",8
512,7538415,"(((C2 x ((C4 x C4) : C2)) : C2) : C2) : C2",8
512,7538416,"(((C4 x C4) : Q8) : C2) : C2",8
512,7538445,"(((C2 x (C4 : Q8)) : C2) : C2) : C2",8
512,7540510,"C2 x C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)",32
512,7540544,"C2 x C2 x ((C2 x ((C4 x C4) : C2)) : C2)",32
512,7540545,"C2 x C2 x ((C4 x C4) : Q8)",32
512,7577399,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",8
512,7579142,"(((((C4 x C2) : C4) : C2) : C2) : C2) : C2",8
512,7579170,"((((C2 x C2 x C2) . (C2 x C2 x C2)) : C2) : C2) : C2",8
512,7579560,"(((((C4 x C2) : C4) : C2) : C2) : C2) : C2",8
512,7579947,"((((C4 x C4) : C4) : C2) : C2) : C2",8
512,7579948,"((((C4 x C4) : C4) : C2) : C2) : C2",8
512,7579952,"(((C2 x C2) . (C2 x C2 x C2)) : Q8) : C2",8
512,7579957,"((((C4 x C4) : C4) : C2) : C2) : C2",8
512,7606661,"D8 x D8 x D8",8
512,7606662,"Q8 x D8 x D8",8
512,7606711,"Q8 x Q8 x D8",8
512,7607280,"Q8 x Q8 x Q8",8
512,7640345,"((((C4 x C2 x C2 x C2) : C2) : C2) : C2) : C2",8
512,7640799,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",8
512,7640967,"(((C2 x (C4 : Q8)) : C2) : C2) : C2",8
512,7644607,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",8
512,7644708,"(((C2 x (C4 : Q8)) : C2) : C2) : C2",8
512,7645035,"((((C4 x C2 x C2 x C2) : C2) : C2) : C2) : C2",8
512,7645152,"(((C2 x ((C4 x C4) : C2)) : C2) : C2) : C2",8
512,7645402,"((((C4 : C4) : C4) : C2) : C2) : C2",8
