Order, SmallGroup_ID, StructureDescription, CenterSize
192,254,"C3 : ((C2 x D16) : C2)",4
192,258,"C3 : (C4 : Q16)",4
192,461,"C2 x D96",4
192,464,"C2 x (C3 : Q32)",4
192,469,"D32 x S3",2
192,476,"Q32 x S3",2
192,955,"(((C2 x C2 x C2 x C2) : C2) : C3) : C2",1
192,956,"(((C4 x C4) : C2) : C3) : C2",1
192,1027,"C2 x (C3 : (C4 : Q8))",8
192,1034,"C2 x (C3 : ((C4 x C4) : C2))",8
192,1096,"D8 x (C3 : Q8)",4
192,1108,"D8 x D24",4
192,1125,"Q8 x (C3 : Q8)",4
192,1134,"Q8 x D24",4
192,1147,"((C2 x C2 x C2 x C2) : C2) x S3",4
192,1273,"((C4 x C4) : C2) x S3",4
192,1282,"(C4 : Q8) x S3",4
192,1299,"C2 x C2 x D48",8
192,1301,"C2 x C2 x (C3 : Q16)",8
192,1311,"C3 : ((C2 x D16) : C2)",2
192,1312,"C3 : (((C8 x C2) : C2) : C2)",2
192,1313,"C2 x D16 x S3",4
192,1322,"C2 x Q16 x S3",4
192,1328,"C3 : (((C2 x C2 x C2) : (C2 x C2)) : C2)",2
192,1330,"C3 : (((C2 x Q8) : C2) : C2)",2
192,1472,"D8 x S4",2
192,1477,"Q8 x S4",2
192,1479,"C2 x ((C2 . S4 = SL(2;3) . C2) : C2)",4
192,1481,"C2 x ((((C4 x C2) : C2) : C3) : C2)",4
192,1510,"C2 x C2 x C2 x (C3 : Q8)",16
192,1512,"C2 x C2 x C2 x D24",16
192,1514,"C2 x C2 x D8 x S3",8
192,1517,"C2 x C2 x Q8 x S3",8
192,1521,"C2 x (C3 : ((C2 x C2 x C2) : (C2 x C2)))",4
192,1522,"C2 x (C3 : ((C2 x Q8) : C2))",4
192,1524,"((C2 x C2 x C2) : (C2 x C2)) x S3",2
192,1526,"((C2 x Q8) : C2) x S3",2
192,1537,"C2 x C2 x C2 x S4",8
192,1542,"C2 x C2 x C2 x C2 x C2 x S3",32
194,1,"D194",1
196,3,"D196",2
196,9,"D14 x D14",1
196,11,"C2 x ((C7 x C7) : C2)",2
198,3,"D198",1
198,9,"(C3 x C3) : D22",1
200,4,"C25 : Q8",2
200,6,"D200",2
200,13,"C2 x C2 x D50",4
200,32,"(C5 x C5) : Q8",2
200,34,"(C5 x C5) : D8",2
200,49,"C2 x D10 x D10",2
200,51,"C2 x C2 x ((C5 x C5) : C2)",4
202,1,"D202",1
204,7,"S3 x D34",1
204,11,"D204",2
206,1,"D206",1
208,7,"D208",2
208,8,"C13 : Q16",2
208,35,"C2 x (C13 : Q8)",4
208,37,"C2 x D104",4
208,39,"D8 x D26",2
208,41,"Q8 x D26",2
208,50,"C2 x C2 x C2 x D26",8
210,11,"D210",1
212,4,"D212",2
214,1,"D214",1
216,4,"C27 : Q8",2
216,6,"D216",2
216,23,"C2 x C2 x D54",4
216,63,"(C9 x C3) : Q8",2
216,65,"(C9 x C3) : D8",2
216,87,"((C3 x C3) : C3) : D8",1
216,101,"C2 x S3 x D18",2
216,112,"C2 x C2 x ((C9 x C3) : C2)",4
216,145,"(C3 x C3 x C3) : Q8",2
216,147,"(C3 x C3 x C3) : D8",2
216,162,"S3 x S3 x S3",1
216,171,"C2 x (((C3 x C3) : C2) x S3)",2
216,176,"C2 x C2 x ((C3 x C3 x C3) : C2)",4
218,1,"D218",1
220,11,"D10 x D22",1
220,14,"D220",2
222,5,"D222",1
224,5,"D224",2
224,7,"C7 : Q32",2
224,64,"C7 : (C4 : Q8)",4
224,69,"C7 : ((C4 x C4) : C2)",4
224,98,"C2 x D112",4
224,100,"C2 x (C7 : Q16)",4
224,105,"D16 x D14",2
224,112,"Q16 x D14",2
224,174,"C2 x C2 x (C7 : Q8)",8
224,176,"C2 x C2 x D56",8
224,178,"C2 x D8 x D14",4
224,181,"C2 x Q8 x D14",4
224,185,"C7 : ((C2 x C2 x C2) : (C2 x C2))",2
224,186,"C7 : ((C2 x Q8) : C2)",2
224,196,"C2 x C2 x C2 x C2 x D14",16
226,1,"D226",1
228,8,"S3 x D38",1
228,14,"D228",2
230,3,"D230",1
232,4,"C29 : Q8",2
232,6,"D232",2
232,13,"C2 x C2 x D58",4
234,5,"D234",1
234,15,"(C3 x C3) : D26",1
236,3,"D236",2
238,3,"D238",1
240,68,"D240",2
240,69,"C3 : (C5 : Q16)",2
240,125,"(C3 : Q8) x D10",2
240,128,"S3 x (C5 : Q8)",2
240,136,"D24 x D10",2
240,137,"S3 x D40",2
240,175,"C2 x (C3 : (C5 : Q8))",4
240,177,"C2 x D120",4
240,179,"D8 x D30",2
240,181,"Q8 x D30",2
240,194,"D10 x S4",1
240,202,"C2 x C2 x S3 x D10",4
240,207,"C2 x C2 x C2 x D30",8
242,1,"D242",1
242,4,"(C11 x C11) : C2",1
244,4,"D244",2
246,3,"D246",1
248,3,"C31 : Q8",2
248,5,"D248",2
248,11,"C2 x C2 x D62",4
250,1,"D250",1
250,7,"(C25 x C5) : C2",1
250,14,"(C5 x C5 x C5) : C2",1
252,8,"D14 x D18",1
252,14,"D252",2
252,34,"((C3 x C3) : C2) x D14",1
252,36,"S3 x D42",1
252,45,"C2 x ((C3 x C3) : D14)",2
254,1,"D254",1
256,539,"D256",2
256,541,"Q256",2
256,5503,"((((C4 x C4) : C2) : C2) : C2) : C2",4
256,5504,"C8 : Q32",4
256,5509,"C16 : Q16",4
256,6713,"((C2 x D32) : C2) : C2",4
256,6714,"C4 : Q64",4
256,6719,"C32 : Q8",4
256,6726,"C2 x D128",4
256,6728,"C2 x Q128",4
256,11242,"(((C2 x C2 x D8) : C2) : C2) : C2",4
256,11247,"(((C4 x C2) : Q8) : C2) : C2",4
256,11702,"((((C4 x C4) : C2) : C2) : C2) : C2",4
256,11707,"((Q8 : Q8) : C2) : C2",4
256,11724,"((C8 : Q8) : C2) : C2",4
256,12061,"((((C4 x C4) : C2) : C2) : C2) : C2",4
256,12066,"((C8 : Q8) : C2) : C2",4
256,12589,"C2 x ((((C4 x C4) : C2) : C2) : C2)",8
256,12590,"C2 x (C8 : Q16)",8
256,12955,"D16 x D16",4
256,12962,"Q16 x D16",4
256,12997,"Q16 x Q16",4
256,25882,"((C2 x (C8 : (C2 x C2))) : C2) : C2",2
256,25885,"((C2 x ((C2 x Q8) : C2)) : C2) : C2",2
256,26289,"(C2 x (((C4 x C4) : C2) : C2)) : C2",8
256,26290,"(C4 x C4) : Q16",8
256,26300,"(C8 x C4) : Q8",8
256,26531,"C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2)",4
256,26554,"C2 x ((Q8 x Q8) : C2)",4
256,26697,"C2 x (((C2 x D16) : C2) : C2)",8
256,26698,"C2 x (C4 : Q32)",8
256,26711,"C2 x (C16 : Q8)",8
256,26833,"D8 x D32",4
256,26840,"D8 x Q32",4
256,26846,"(((C2 x D16) : C2) : C2) : C2",2
256,26848,"(((C2 x Q16) : C2) : C2) : C2",2
256,26933,"Q8 x D32",4
256,26937,"Q8 x Q32",4
256,26963,"C2 x C2 x D64",8
256,26965,"C2 x C2 x Q64",8
256,26970,"(C2 x D64) : C2",2
256,26972,"(C2 x Q64) : C2",2
256,28334,"((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2",8
256,28378,"((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2",8
256,28515,"(((C4 x C2 x C2 x C2) : C2) : C2) : C2",8
256,28564,"((C4 : C4) : Q8) : C2",8
256,28654,"(((C4 x C2 x C2 x C2) : C2) : C2) : C2",8
256,29080,"((C2 x C2 x C2 x C2) : C2) x D8",8
256,29107,"((C4 x C4) : C2) x D8",8
256,29108,"(C4 : Q8) x D8",8
256,29528,"((C2 x C2 x C2 x C2) : C2) x Q8",8
256,29545,"((C4 x C4) : C2) x Q8",8
256,29546,"(C4 : Q8) x Q8",8
256,29598,"C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)",16
256,29630,"C2 x ((C2 x ((C4 x C4) : C2)) : C2)",16
256,29631,"C2 x ((C4 x C4) : Q8)",16
256,53348,"C2 x ((C2 x C2 x D16) : C2)",8
256,53351,"C2 x ((C2 x C2 x Q16) : C2)",8
256,53366,"C2 x C2 x (((C4 x C4) : C2) : C2)",8
256,53369,"C2 x C2 x ((C4 : Q8) : C2)",8
256,53376,"(C2 x (((C4 x C4) : C2) : C2)) : C2",2
256,53379,"(C2 x ((C4 : Q8) : C2)) : C2",2
256,53380,"C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2)",8
256,53387,"(C2 x (((C2 x C2 x C2 x C2) : C2) : C2)) : C2",2
256,53388,"((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2",2
256,53617,"C2 x C2 x (((C4 x C4) : C2) : C2)",16
256,53618,"C2 x C2 x (C4 : Q16)",16
256,53635,"(C2 x (((C4 x C4) : C2) : C2)) : C2",4
256,53636,"(C2 x (C4 : Q16)) : C2",4
256,53642,"C2 x C2 x (C8 : Q8)",16
256,53655,"(C2 x (C8 : Q8)) : C2",4
256,54027,"C2 x D8 x D16",8
256,54034,"C2 x D8 x Q16",8
256,54037,"((C2 x (C8 : (C2 x C2))) : C2) : C2",4
256,54041,"((C2 x ((C2 x Q8) : C2)) : C2) : C2",4
256,54077,"((C2 x (C8 : (C2 x C2))) : C2) : C2",4
256,54079,"((C2 x ((C2 x Q8) : C2)) : C2) : C2",4
256,54091,"C2 x (((C8 : (C2 x C2)) : C2) : C2)",4
256,54092,"C2 x ((((C2 x Q8) : C2) : C2) : C2)",4
256,54339,"C2 x Q8 x D16",8
256,54343,"C2 x Q8 x Q16",8
256,54361,"(((C4 : Q8) : C2) : C2) : C2",4
256,54618,"((((C4 x C2 x C2) : C2) : C2) : C2) : C2",4
256,54622,"((((C2 x Q8) : C2) : C2) : C2) : C2",4
256,54649,"((((C4 x C2 x C2) : C2) : C2) : C2) : C2",4
256,54653,"((((C2 x Q8) : C2) : C2) : C2) : C2",4
256,54858,"((((C4 x C4) : C2) : C2) : C2) : C2",4
256,55403,"((((C4 x C2 x C2) : C2) : C2) : C2) : C2",4
256,55404,"((C4 : Q16) : C2) : C2",4
256,55459,"((((C4 x C2 x C2) : C2) : C2) : C2) : C2",4
256,55460,"((C8 : Q8) : C2) : C2",4
256,55613,"C2 x C2 x C2 x D32",16
256,55615,"C2 x C2 x C2 x Q32",16
256,55620,"C2 x ((C2 x D32) : C2)",4
256,55622,"C2 x ((C2 x Q32) : C2)",4
256,55643,"C2 x C2 x C2 x ((C2 x C2 x C2 x C2) : C2)",32
256,55652,"C2 x C2 x C2 x ((C4 x C4) : C2)",32
256,55653,"C2 x C2 x C2 x (C4 : Q8)",32
256,55683,"C2 x C2 x D8 x D8",16
256,55684,"C2 x C2 x Q8 x D8",16
256,55700,"C2 x C2 x Q8 x Q8",16
256,55751,"C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)",8
256,55770,"C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) : C2)",8
256,55783,"C2 x ((((C4 x C4) : C2) : C2) : C2)",8
256,55784,"C2 x (((C4 : Q8) : C2) : C2)",8
256,55790,"C2 x (((C4 : Q8) : C2) : C2)",8
256,55805,"((D8 x D8) : C2) : C2",4
256,55820,"((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2",4
256,55821,"((((C4 x C2 x C2) : C2) : C2) : C2) : C2",4
256,55969,"D8 x ((C2 x C2 x C2) : (C2 x C2))",4
256,55970,"Q8 x ((C2 x C2 x C2) : (C2 x C2))",4
256,55984,"D8 x ((C2 x Q8) : C2)",4
256,55985,"Q8 x ((C2 x Q8) : C2)",4
256,55999,"(C2 x D8 x D8) : C2",4
256,56004,"(C2 x Q8 x D8) : C2",4
256,56025,"(C2 x Q8 x Q8) : C2",4
256,56028,"(((C4 x D8) : C2) : C2) : C2",4
256,56065,"C2 x C2 x C2 x C2 x D16",32
256,56067,"C2 x C2 x C2 x C2 x Q16",32
256,56072,"C2 x C2 x ((C2 x D16) : C2)",8
256,56074,"C2 x C2 x ((C2 x Q16) : C2)",8
256,56079,"(C2 x ((C2 x D16) : C2)) : C2",2
256,56081,"(C2 x ((C2 x Q16) : C2)) : C2",2
256,56083,"C2 x C2 x C2 x C2 x C2 x D8",64
256,56084,"C2 x C2 x C2 x C2 x C2 x Q8",64
256,56086,"C2 x C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))",16
256,56087,"C2 x C2 x C2 x ((C2 x Q8) : C2)",16
256,56089,"C2 x ((C2 x ((C2 x C2 x C2) : (C2 x C2))) : C2)",4
256,56090,"C2 x ((C2 x ((C2 x Q8) : C2)) : C2)",4
256,56092,"C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2",256
258,5,"D258",1
260,11,"D10 x D26",1
260,14,"D260",2
262,1,"D262",1
264,23,"C3 : (C11 : Q8)",2
264,25,"D264",2
264,34,"C2 x S3 x D22",2
264,38,"C2 x C2 x D66",4
266,3,"D266",1
268,3,"D268",2
270,3,"D270",1
270,18,"(C9 x C3) : D10",1
270,29,"(C3 x C3 x C3) : D10",1
272,7,"D272",2
272,8,"C17 : Q16",2
272,36,"C2 x (C17 : Q8)",4
272,38,"C2 x D136",4
272,40,"D8 x D34",2
272,42,"Q8 x D34",2
272,53,"C2 x C2 x C2 x D34",8
274,1,"D274",1
276,5,"S3 x D46",1
276,9,"D276",2
278,1,"D278",1
280,24,"C5 : (C7 : Q8)",2
280,26,"D280",2
280,36,"C2 x D10 x D14",2
280,39,"C2 x C2 x D70",4
282,3,"D282",1
284,3,"D284",2
286,3,"D286",1
288,6,"D288",2
288,8,"C9 : Q32",2
288,79,"C9 : (C4 : Q8)",4
288,84,"C9 : ((C4 x C4) : C2)",4
288,109,"C2 x (C9 : Q16)",4
288,114,"C2 x D144",4
288,120,"D16 x D18",2
288,127,"Q16 x D18",2
288,274,"(C3 x C3) : D32",2
288,276,"(C3 x C3) : Q32",2
288,352,"C2 x C2 x (C9 : Q8)",8
288,354,"C2 x C2 x D72",8
288,356,"C2 x D8 x D18",4
288,359,"C2 x Q8 x D18",4
288,363,"C9 : ((C2 x C2 x C2) : (C2 x C2))",2
288,364,"C9 : ((C2 x Q8) : C2)",2
288,441,"D48 x S3",2
288,447,"(C3 : Q16) x S3",2
288,726,"(C3 x C3) : (C4 : Q8)",4
288,731,"(C3 x C3) : ((C4 x C4) : C2)",4
288,760,"C2 x ((C3 x C3) : D16)",4
288,762,"C2 x ((C3 x C3) : Q16)",4
288,767,"D16 x ((C3 x C3) : C2)",2
288,774,"Q16 x ((C3 x C3) : C2)",2
288,839,"C2 x C2 x C2 x C2 x D18",16
288,888,"C2 x ((C3 x C3) : Q16)",4
288,942,"C2 x ((C3 : Q8) x S3)",4
288,946,"(C3 x C3) : ((C2 x Q8) : C2)",2
288,951,"C2 x D24 x S3",4
288,956,"(C3 x C3) : ((C2 x C2 x C2) : (C2 x C2))",2
288,958,"D8 x S3 x S3",2
288,965,"Q8 x S3 x S3",2
288,1003,"C2 x C2 x ((C3 x C3) : Q8)",8
288,1005,"C2 x C2 x ((C12 x C3) : C2)",8
288,1007,"C2 x (D8 x ((C3 x C3) : C2))",4
288,1010,"C2 x (Q8 x ((C3 x C3) : C2))",4
288,1014,"(C3 x C3) : ((C2 x C2 x C2) : (C2 x C2))",2
288,1015,"(C3 x C3) : ((C2 x Q8) : C2)",2
288,1028,"C2 x S3 x S4",2
288,1031,"C2 x C2 x ((S3 x S3) : C2)",4
288,1040,"C2 x C2 x C2 x S3 x S3",8
288,1044,"C2 x C2 x C2 x C2 x ((C3 x C3) : C2)",16
290,3,"D290",1
292,4,"D292",2
294,5,"D294",1
294,22,"C3 : ((C7 x C7) : C2)",1
296,4,"C37 : Q8",2
296,6,"D296",2
296,13,"C2 x C2 x D74",4
298,1,"D298",1
300,7,"S3 x D50",1
300,11,"D300",2
300,25,"(C5 x C5) : D12",1
300,38,"S3 x ((C5 x C5) : C2)",1
300,39,"D10 x D30",1
300,48,"C2 x (C3 : ((C5 x C5) : C2))",2
302,1,"D302",1
304,6,"D304",2
304,7,"C19 : Q16",2
304,27,"C2 x (C19 : Q8)",4
304,29,"C2 x D152",4
304,31,"D8 x D38",2
