No,m,r,Family,Order,Class,CenterSize,DerivedSize,Involutions,k,WignerS2,WignerS3,PcCode
100,7,3,m7r3_polar6_q7,1024,2,8,8,143,202,206848,58458112,44666845920777523379167669331937586086692446
101,7,3,m7r3_polar6_q8,1024,2,8,8,47,202,206848,58458112,45738850222876183940267693395976136684680005215
102,7,3,m7r3_polar6_q9,1024,2,8,8,143,202,206848,58458112,45738850222876183940267693395922093489151559263
103,7,3,m7r3_polar6_q10,1024,2,8,8,367,202,206848,58458112,46836582628225212375116527603352338545837302892159
104,7,3,m7r3_polar6_q11,1024,2,8,8,79,202,206848,58458112,46836582628225212375116527603352410603431340820095
105,7,3,m7r3_polar6_q12,1024,2,8,8,111,202,206848,58458112,46836582628225212375116527603352356560235812374143
106,7,3,m7r3_polar7_q1,1024,2,8,8,335,178,182272,45088768,43577556018427015005837438216941655580161
107,7,3,m7r3_polar7_q2,1024,2,8,8,111,178,182272,45088768,47914029552320512720121099912793162922379127940210207
108,7,3,m7r3_polar7_q3,1024,2,8,8,335,178,182272,45088768,47914029552320512720121099912793162994436721978138143
109,7,3,m7r3_polar7_q4,1024,2,8,8,79,178,182272,45088768,47914029552320512720121099912755384008530569287982623
110,7,3,m7r3_polar7_q5,1024,2,8,8,335,178,182272,45088768,43577556018427015005837456231340165062176
111,7,3,m7r3_polar7_q6,1024,2,8,8,111,178,182272,45088768,44623417362869263365977555216358176333258288
112,7,3,m7r3_polar7_q7,1024,2,8,8,79,178,182272,45088768,49063966261576205025404026533688699506454553560978054719
113,7,3,m7r3_polar7_q8,1024,2,8,8,111,178,182272,45088768,49063966261576205025404026533688699506526611155015982655
114,7,3,m7r3_polar7_q9,1024,2,8,8,111,178,182272,45088768,49063966261576205025404026533688661727504676205306863167
115,7,3,m7r3_polar7_q10,1024,2,8,8,111,178,182272,45088768,49063966261576205025404026573302780763586722357750029887
116,7,3,m7r3_polar7_q11,1024,2,8,8,79,178,182272,45088768,49063966261576205025404026573302780763658779951787957823
117,7,3,m7r3_polar7_q12,1024,2,8,8,335,178,182272,45088768,49063966261576205025404026573302742984636845002078838335
118,7,3,m7r3_polar8_q1,1024,2,8,8,335,178,182272,45088768,21309206609759709341237942986582789632
119,7,3,m7r3_polar8_q2,1024,2,8,8,335,178,182272,45088768,22880586373156246509770741144356213572700999182
120,7,3,m7r3_polar8_q3,1024,2,8,8,111,178,182272,45088768,23429720446111996426005238931820833068832560254479
121,7,3,m7r3_polar8_q4,1024,2,8,8,79,178,182272,45088768,23429720446111996426005238931783903551888122187279
122,7,3,m7r3_polar8_q5,1024,2,8,8,335,178,182272,45088768,23992033736818684340229305245062610541113585860611694
123,7,3,m7r3_polar8_q6,1024,2,8,8,111,178,182272,45088768,24567842546502332764394808570944113194170682308003368559
124,7,3,m7r3_polar8_q7,1024,2,8,8,79,178,182272,45088768,24567842546502332764394808570944113157241165363565301359
125,7,3,m7r3_polar8_q8,1024,2,8,8,111,178,182272,45088768,25157470767618388750740283976607196477439459434235552861823
126,7,3,m7r3_polar8_q9,1024,2,8,8,335,178,182272,45088768,25157470767618388750740283976607196477402529917291114794623
